Step,Time,Sum
1,7.78,8781051
2,7.37,17175828
3,9.04,1833573665
4,8.62,1618408266
5,7.78,8212523
6,7.65,31791515
7,7.85,1088618230
8,7.59,27946564
16,7.37,11968049
17,7.23,1718761872
18,7.17,366007410
19,6.84,278598335
20,6.79,5773143
32,5.17,2113225066
64,2.63,1081153976
128,1.09,745143070
256,0.57,1524427739
512,0.34,1529709546
1024,0.19,677538666
2048,0.09,1458677445
4096,0.05,515022463
