Step,Time,Sum
1,7.53,15228548
2,10.71,13373301
3,7.29,1674052522
4,7.13,17359825
5,8.44,1287058945
6,9.41,894656623
7,7.73,1853230893
8,7.15,15760118
16,7.12,2007769826
17,7.07,1043498057
18,6.93,8402818
19,6.82,1921832627
20,6.73,403414766
32,5.40,82865296
64,2.64,530345799
128,1.07,2112409719
256,0.59,2080082570
512,0.30,1269891574
1024,0.17,266241743
2048,0.12,1984150706
4096,0.05,1365944363
