Step,Time,Sum
1,79.74,448774882
2,74.03,1475258110
3,56.27,1264013006
4,63.02,1946015928
5,56.78,512158502
6,61.39,828529562
7,60.51,560119629
8,59.42,597500120
9,59.04,78235793
10,57.84,881247433
11,61.01,78125126
12,69.44,1924332038
13,58.85,1437578922
14,59.03,420831074
15,57.39,1188417779
16,56.64,1391691200
32,38.59,905807740
64,21.68,1074656199
128,9.72,1751836513
256,5.81,632208393
512,3.10,1705066765
1024,1.62,1207410340
2048,2.03,1304589697
4096,0.51,760464219
