Step,Time,Sum
1,100.25,1035111600
2,88.22,353606078
3,64.10,1957070176
4,81.19,1081307506
5,105.69,787105406
6,78.36,523545772
7,67.04,1640531075
8,58.85,1989491891
9,68.98,47212543
10,59.23,1023299965
11,61.84,645713975
12,60.39,1885617272
13,59.69,1521426220
14,58.90,852792971
15,64.17,1545293649
16,68.06,209294694
32,38.88,147273494
64,23.12,1829541651
128,9.64,1451352022
256,4.94,1762172748
512,2.93,156661941
1024,1.63,642493344
2048,0.90,55777197
4096,0.52,1250504885
