Step,Time,Value
1,212.03,448762041
2,144.85,-1970296363
3,123.95,684183748
4,121.66,654173938
5,125.08,2030142941
6,123.66,919208091
7,138.68,505210063
8,121.98,656082423
9,120.61,868297984
10,119.44,1003317827
11,120.61,1032144593
12,119.08,927565130
13,117.92,1046471063
14,118.10,2012806484
15,117.54,2014351481
16,117.77,913432072
32,81.05,1676456766
64,43.81,2029082392
128,19.20,613270298
256,11.25,163106563
512,5.71,854832058
1024,3.32,952461233
2048,1.74,1633717115
4096,0.95,1175762329

