Step,Time,Sum
1,92.42,639654952
2,62.19,1211278161
3,57.39,1756045726
4,66.94,521121980
5,57.30,398061521
6,61.56,94353866
7,65.18,465699825
8,64.48,1867166139
9,62.54,1435885726
10,60.49,401793967
11,107.05,1436891573
12,60.55,56002605
13,62.84,653620816
14,81.64,824514738
15,61.62,866235066
16,61.87,1565691163
32,39.25,648609805
64,24.16,1072917078
128,9.46,686707135
256,4.85,1224150641
512,2.85,2021160361
1024,1.63,1943263135
2048,0.89,181905304
4096,0.47,453051053
