Step,Time,Sum
1,433.18,1538974983
2,108.44,2145212167
3,98.28,283988975
4,96.56,1861021728
5,95.04,853092819
6,90.22,1158133049
7,87.66,1575009129
8,123.75,-926834045
9,126.08,1119568918
10,125.67,218665912
11,123.20,827965622
12,123.65,1796046165
13,121.84,598652709
14,117.62,-139634392
15,125.43,1694141774
16,124.10,1260189038
32,78.71,26311282
64,42.30,1463112523
128,22.36,311543913
256,11.97,1387074966
512,6.42,117084753
1024,2.90,1356558505
2048,1.56,83894967
4096,0.91,887810654
