Step,Time,Sum
1,458.74,986430590
2,106.78,1443298408
3,97.60,1027653926
4,94.24,1342119314
5,93.27,2022372152
6,90.85,1459278662
7,87.65,1340851401
8,86.93,1836891575
9,86.48,1389599608
10,85.64,123199956
11,85.11,962072926
12,85.46,220020102
13,103.93,1817721869
14,121.26,1939265529
15,124.18,-1240565893
16,119.85,414657262
32,78.66,1341517941
64,41.80,201266672
128,21.77,1162223514
256,11.75,682497594
512,6.50,1088943266
1024,3.05,805967699
2048,1.58,1993570433
4096,0.83,995728665
